Capacity (Ah),SOH
4.8071017,99.19151
4.805991,99.17082
4.804881,99.15012
4.803771,99.12943
4.802661,99.10874
4.801551,99.08805
4.8004403,99.06735
4.79933,99.04666
4.7982206,99.02597
4.79711,99.00528
4.796,98.98458
4.7948895,98.96389
4.7937794,98.9432
4.79267,98.92251
4.791559,98.90181
4.790449,98.88112
4.7893386,98.86043
4.7882285,98.83974
4.787119,98.81903
4.786008,98.79834
4.7848983,98.77765
4.7837877,98.75696
4.7826777,98.73626
4.7815676,98.71557
4.7804575,98.69488
4.7793474,98.67419
4.7782373,98.653496
4.777127,98.6328
4.7760167,98.61211
4.774906,98.591415
4.7737966,98.57072
4.7726865,98.550026
4.771576,98.529335
4.770466,98.508644
4.7693553,98.48795
4.7682457,98.467255
4.7671356,98.44656
4.766025,98.42587
4.764915,98.40518
4.7638044,98.38448
4.762695,98.36379
4.7615848,98.3431
4.760474,98.32241
4.759364,98.301704
4.758254,98.28101
4.7571435,98.26032
4.756034,98.23963
4.7549233,98.21893
4.7538133,98.19824
4.752703,98.17755
4.751593,98.15686
4.750483,98.13617
4.7493725,98.11547
4.7482624,98.09478
4.7471523,98.07409
4.7460423,98.0534
4.744932,98.0327
4.7438216,98.01201
4.7427115,97.99132
4.7416015,97.97063
4.7404914,97.94993
4.7393813,97.92924
4.7382708,97.90855
4.7371607,97.88784
4.7360506,97.86715
4.7349405,97.84646
4.7338305,97.82577
4.73272,97.80507
4.73161,97.784386
4.7304997,97.76369
4.729389,97.743
4.7282796,97.722305
4.727169,97.70161
4.726059,97.680916
4.724949,97.660225
4.7238383,97.639534
4.7227287,97.618835
4.7216187,97.598145
4.720508,97.57745
4.719398,97.55676
4.7182875,97.536064
4.7171774,97.51537
4.716068,97.49468
4.714957,97.47399
4.713847,97.453285
4.7127366,97.432594
4.7116265,97.41191
4.710517,97.39122
4.7094064,97.370514
4.7082963,97.34982
4.7071857,97.32913
4.7060757,97.30844
4.704966,97.28775
4.7038555,97.26705
4.7027454,97.24636
4.7016354,97.22567
4.700525,97.20498
4.699415,97.18429
4.6983047,97.16359
4.6971946,97.1429
4.6960845,97.12221
4.694974,97.10151
4.6938643,97.08082
4.692754,97.06013
4.6916437,97.03944
4.6905336,97.018745
4.689423,96.99805
